8;89;806
4;48;724
1;114;708
3;311;703
1;115;689
9;917;684
9;913;676
3;317;665
6;619;660
3;33;659
2;219;654
4;42;653
6;62;653
8;819;652
4;47;634
8;87;628
5;511;627
1;112;625
7;75;624
6;618;623
6;69;620
2;22;614
7;77;614
0;8;608
2;218;602
2;24;596
6;61;596
9;96;596
9;92;594
2;214;590
7;710;586
0;10;577
6;60;576
1;12;575
8;86;575
6;614;574
2;210;573
5;57;571
2;27;564
9;99;563
1;118;556
2;26;555
4;413;555
5;59;554
2;20;553
2;215;550
9;94;550
3;319;549
8;815;549
3;316;548
0;17;547
5;55;544
0;6;543
0;19;541
7;716;541
1;116;540
0;1;539
2;23;537
1;113;536
4;43;534
5;512;533
3;31;532
3;318;529
6;64;529
8;817;529
5;519;528
2;29;527
3;30;525
4;44;525
0;5;524
1;119;522
5;54;522
9;910;522
2;28;521
4;418;518
6;615;518
3;37;516
4;419;514
3;35;513
7;71;513
1;19;512
3;313;511
4;411;509
1;15;508
5;516;507
4;414;506
1;110;505
6;68;505
7;719;505
1;111;503
9;90;503
9;98;503
1;16;502
2;21;501
8;816;499
4;46;498
9;911;497
1;18;496
4;416;494
7;718;494
5;518;491
1;117;489
5;53;489
2;216;487
4;45;482
7;714;481
8;814;480
6;63;478
5;515;472
7;717;472
8;811;472
4;415;471
6;66;469
7;79;468
3;38;467
6;616;467
0;4;465
5;52;465
8;80;463
5;514;460
0;15;451
2;212;451
6;612;449
3;310;448
8;82;448
8;813;448
0;13;444
3;315;443
0;7;442
7;73;438
9;97;438
6;67;434
8;810;434
9;95;433
6;610;431
0;2;429
3;34;428
6;611;428
8;83;427
8;812;426
7;76;425
0;18;424
2;213;423
1;14;421
5;56;420
9;91;418
5;510;416
0;12;415
7;715;415
0;11;413
6;617;413
7;70;413
4;417;412
0;9;410
9;919;404
3;32;401
9;915;399
9;912;395
1;13;394
1;10;388
0;14;386
0;16;385
2;211;385
4;40;385
2;217;381
8;85;380
8;88;379
7;72;378
4;49;377
3;36;372
3;39;360
1;11;356
5;513;351
3;314;349
6;65;349
9;914;343
5;50;339
5;51;338
9;918;338
0;0;334
4;412;326
0;3;325
7;74;313
4;410;309
7;713;281
8;818;269
